parameter_name,parameter_code,series_name,data
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T00:51:00+00:00', 'value': 52}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T00:52:00+00:00', 'value': 54.2999992371}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T00:53:00+00:00', 'value': 56.6000022888}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T00:54:00+00:00', 'value': 61.1000022888}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T00:55:00+00:00', 'value': 62}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T00:56:00+00:00', 'value': 58}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 56.2999992371, 'datetime': '2020-03-24T00:57:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 54.4000015259, 'datetime': '2020-03-24T00:58:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 51.6000022888, 'datetime': '2020-03-24T00:59:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 61.1000022888, 'datetime': '2020-03-24T01:00:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 62.7000007629, 'datetime': '2020-03-24T01:01:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 56.1000022888, 'datetime': '2020-03-24T01:02:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 62.1000022888, 'datetime': '2020-03-24T01:03:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 55.1000022888, 'datetime': '2020-03-24T01:04:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 62, 'datetime': '2020-03-24T01:05:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 53.7999992371, 'datetime': '2020-03-24T01:06:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 60, 'datetime': '2020-03-24T01:07:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 65.3000030518, 'datetime': '2020-03-24T01:08:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 61.9000015259, 'datetime': '2020-03-24T01:09:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T01:10:00+00:00', 'value': 66.5, 'aqi': 56.235392320534224}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 69.7000045776, 'datetime': '2020-03-24T01:11:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 69.4000015259, 'datetime': '2020-03-24T01:12:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 69.9000015259, 'datetime': '2020-03-24T01:13:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 64, 'datetime': '2020-03-24T01:14:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 61.7999992371, 'datetime': '2020-03-24T01:15:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 65.7000045776, 'datetime': '2020-03-24T01:16:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 60.9000015259, 'datetime': '2020-03-24T01:17:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 65.3000030518, 'datetime': '2020-03-24T01:18:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 66.9000015259, 'datetime': '2020-03-24T01:19:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 62.2000007629, 'datetime': '2020-03-24T01:20:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 63.9000015259, 'datetime': '2020-03-24T01:21:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 60, 'datetime': '2020-03-24T01:22:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 57, 'datetime': '2020-03-24T01:23:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 60.9000015259, 'datetime': '2020-03-24T01:24:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 63.2000007629, 'datetime': '2020-03-24T01:25:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 59.4000015259, 'datetime': '2020-03-24T01:26:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T01:27:00+00:00', 'value': 57.6, 'aqi': 48}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 62.9000015259, 'datetime': '2020-03-24T01:28:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 53.7999992371, 'datetime': '2020-03-24T01:29:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 55.4000015259, 'datetime': '2020-03-24T01:30:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 51.4000015259, 'datetime': '2020-03-24T01:31:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 51.4000015259, 'datetime': '2020-03-24T01:32:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 56.2000007629, 'datetime': '2020-03-24T01:33:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 54.9000015259, 'datetime': '2020-03-24T01:34:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 53.9000015259, 'datetime': '2020-03-24T01:35:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 71.7000045776, 'datetime': '2020-03-24T01:36:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 68.8000030518, 'datetime': '2020-03-24T01:37:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 82, 'datetime': '2020-03-24T01:38:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T01:39:00+00:00', 'value': 91.1, 'aqi': 76.35893155258765}"
